itm_no_item|OBJETO INVALIDO
itm_no_item_pl|OBJETOS INVALIDOS
itm_tutorial_spear|Lanza
itm_tutorial_spear_pl|Lanza
itm_tutorial_club|Palo
itm_tutorial_club_pl|Palo
itm_tutorial_battle_axe|Hacha de batalla
itm_tutorial_battle_axe_pl|Hacha de batalla
itm_tutorial_arrows|Flechas
itm_tutorial_arrows_pl|Flechas
itm_tutorial_bolts|Virotes
itm_tutorial_bolts_pl|Virotes
itm_tutorial_short_bow|Arco corto
itm_tutorial_short_bow_pl|Arco corto
itm_tutorial_crossbow|Ballesta
itm_tutorial_crossbow_pl|Ballesta
itm_tutorial_throwing_daggers|Dagas arrojadizas
itm_tutorial_throwing_daggers_pl|Dagas arrojadizas
itm_tutorial_saddle_horse|Caballo de silla
itm_tutorial_saddle_horse_pl|Caballo de silla
itm_tutorial_shield|Escudo de lágrima
itm_tutorial_shield_pl|Escudo de lágrima
itm_tutorial_staff_no_attack|Bastón
itm_tutorial_staff_no_attack_pl|Bastón
itm_tutorial_staff|Bastón
itm_tutorial_staff_pl|Bastón
itm_tutorial_sword|Espada
itm_tutorial_sword_pl|Espada
itm_tutorial_axe|Hacha
itm_tutorial_axe_pl|Hacha
itm_tutorial_dagger|Daga
itm_tutorial_dagger_pl|Dagas
itm_horse_meat|Carne de caballo
itm_horse_meat_pl|Carnes de caballo
itm_practice_sword|Espada de práctica
itm_practice_sword_pl|Espadas de práctica
itm_heavy_practice_sword|Espada pesada de práctica
itm_heavy_practice_sword_pl|Espadas pesadas de práctica
itm_practice_dagger|Daga de práctica
itm_practice_dagger_pl|Dagas de práctica
itm_practice_axe|Hacha de práctica
itm_practice_axe_pl|Hachas de práctica
itm_arena_axe|Hacha
itm_arena_axe_pl|Hachas
itm_arena_sword|Espada
itm_arena_sword_pl|Espadas
itm_arena_sword_two_handed|Mandoble
itm_arena_sword_two_handed_pl|Mandobles
itm_arena_lance|Lanza de caballería
itm_arena_lance_pl|Lanzas de caballería
itm_practice_staff|Bastón de práctica
itm_practice_staff_pl|Bastones de práctica
itm_practice_lance|Lanza de caballería de práctica
itm_practice_lance_pl|Lanzas de caballería de práctica
itm_practice_shield|Escudo de práctica
itm_practice_shield_pl|Escudos de práctica
itm_practice_bow|Arco de práctica
itm_practice_bow_pl|Arcos de práctica
itm_practice_crossbow|Ballesta de práctica
itm_practice_crossbow_pl|Ballestas de práctica
itm_practice_javelin|Jabalina de práctica
itm_practice_javelin_pl|Jabalinas de práctica
itm_practice_javelin_melee|Jabalinas de práctica cuerpo a cuerpo
itm_practice_javelin_melee_pl|Jabalinas de práctica cuerpo a cuerpo
itm_practice_throwing_daggers|Dagas arrojadizas
itm_practice_throwing_daggers_pl|Dagas arrojadizas
itm_practice_throwing_daggers_100_amount|Dagas arrojadizas
itm_practice_throwing_daggers_100_amount_pl|Dagas arrojadizas
itm_practice_horse|Caballo de práctica
itm_practice_horse_pl|Caballos de práctica
itm_practice_arrows|Flechas de práctica
itm_practice_arrows_pl|Flechas de práctica
itm_practice_bolts|Virotes de práctica
itm_practice_bolts_pl|Virotes de práctica
itm_practice_arrows_10_amount|Flechas de práctica
itm_practice_arrows_10_amount_pl|Flechas de práctica
itm_practice_arrows_100_amount|Flechas de práctica
itm_practice_arrows_100_amount_pl|Flechas de práctica
itm_practice_bolts_9_amount|Virotes de práctica
itm_practice_bolts_9_amount_pl|Virotes de práctica
itm_practice_boots|Botas de práctica
itm_practice_boots_pl|Botas de práctica
itm_red_tourney_armor|Armadura roja de torneos
itm_red_tourney_armor_pl|Armaduras roja de torneos
itm_blue_tourney_armor|Armadura azul de torneos
itm_blue_tourney_armor_pl|Armaduras azul de torneos
itm_green_tourney_armor|Armadura verde de torneos
itm_green_tourney_armor_pl|Armaduras verde de torneos
itm_gold_tourney_armor|Armadura dorada de torneos
itm_gold_tourney_armor_pl|Armaduras dorada de torneos
itm_red_tourney_helmet|Yelmo rojo de torneos
itm_red_tourney_helmet_pl|Yelmos rojo de torneos
itm_blue_tourney_helmet|Yelmo azul de torneos
itm_blue_tourney_helmet_pl|Yelmo azul de torneos
itm_green_tourney_helmet|Yelmo verde de torneos
itm_green_tourney_helmet_pl|Yelmos verde de torneos
itm_gold_tourney_helmet|Yelmo dorado de torneos
itm_gold_tourney_helmet_pl|Yelmos dorado de torneos
itm_arena_shield_red|Escudo
itm_arena_shield_red_pl|Escudos
itm_arena_shield_blue|Escudo
itm_arena_shield_blue_pl|Escudos
itm_arena_shield_green|Escudo
itm_arena_shield_green_pl|Escudos
itm_arena_shield_yellow|Escudo
itm_arena_shield_yellow_pl|Escudos
itm_arena_armor_white|Armadura blanca de la Arena
itm_arena_armor_white_pl|Armaduras blanca de la Arena
itm_arena_armor_red|Armadura roja de la Arena
itm_arena_armor_red_pl|Armaduras rojas de la Arena
itm_arena_armor_blue|Armadura azul de la Arena
itm_arena_armor_blue_pl|Armaduras azules de la Arena
itm_arena_armor_green|Armadura verde de la Arena
itm_arena_armor_green_pl|Armaduras verdes de la Arena
itm_arena_armor_yellow|Armadura amarilla de la Arena
itm_arena_armor_yellow_pl|Armaduras amarillas de la Arena
itm_arena_tunic_white|Túnica blanca de la Arena 
itm_arena_tunic_white_pl|Túnicas blanca de la Arena 
itm_arena_tunic_red|Túnica roja de la Asrena
itm_arena_tunic_red_pl|Túnicas rojas de la Arena
itm_arena_tunic_blue|Túnica azul de la Arena
itm_arena_tunic_blue_pl|Túnicas azules de la Arena
itm_arena_tunic_green|Túnica verde de la Arena
itm_arena_tunic_green_pl|Túnicas verdes de la Arena
itm_arena_tunic_yellow|Túnica amarilla de la Arena
itm_arena_tunic_yellow_pl|Túnicas amarillas de la Arena
itm_arena_helmet_red|Yelmo rojo de la Arena
itm_arena_helmet_red_pl|Yelmos rojos de la Arena
itm_arena_helmet_blue|Yelmo azul de la Arena
itm_arena_helmet_blue_pl|Yelmos azules de la Arena
itm_arena_helmet_green|Yelmo verde de la Arena
itm_arena_helmet_green_pl|Yelmos verdes de la Arena
itm_arena_helmet_yellow|Yelmo amarillo de la Arena
itm_arena_helmet_yellow_pl|Yelmos amarillo de la Arena
itm_steppe_helmet_white|Yelmo blanco de la estepa
itm_steppe_helmet_white_pl|Yelmos blancos de la estepa
itm_steppe_helmet_red|Yelmo rojo de la estepa
itm_steppe_helmet_red_pl|Yelmos rojos de la estepa
itm_steppe_helmet_blue|Yelmo azul de la estepa
itm_steppe_helmet_blue_pl|Yelmos azules de la estepa
itm_steppe_helmet_green|Yelmo verde de la estepa
itm_steppe_helmet_green_pl|Yelmos verdes de la estepa
itm_steppe_helmet_yellow|Yelmo amarillo de la estepa
itm_steppe_helmet_yellow_pl|Yelmos amarillos de la estepa
itm_tourney_helm_white|Yelmo blanco de torneos
